#Name: waxd.dat
#ProfileType: 3
#ScatteringType:0
#Wavelength: 0.124
#PlotSize: 1374
#PixelSize: 0.172
#xUnit: pixel
#SampleDistance: 5454.6
#IntSartAngle:0
#IntTermAngle:6.283
#Integrated Intensity
#q(1/nm)	Intensity	sigma
#-------------------
1.1981	7.861	0.066
1.1997	8.005	0.068
1.2013	7.978	0.067
1.2029	7.734	0.066
1.2045	7.750	0.067
1.2061	7.737	0.068
1.2077	7.633	0.069
1.2093	7.705	0.068
1.2109	7.792	0.070
1.2125	7.648	0.069
1.2141	7.828	0.071
1.2157	7.740	0.071
1.2173	7.716	0.070
1.2189	7.702	0.071
1.2205	7.858	0.072
1.2221	7.788	0.071
1.2237	7.757	0.072
1.2252	7.649	0.071
1.2268	7.659	0.072
1.2284	7.626	0.072
1.2300	7.670	0.072
1.2316	7.712	0.073
1.2332	7.787	0.073
1.2348	7.722	0.073
1.2364	7.746	0.073
1.2380	7.571	0.072
1.2396	7.650	0.073
1.2412	7.646	0.074
1.2428	7.413	0.072
1.2444	7.572	0.074
1.2460	7.443	0.073
1.2476	7.559	0.074
1.2492	7.427	0.073
1.2508	7.521	0.073
1.2524	7.357	0.074
1.2540	7.516	0.075
1.2556	7.373	0.073
1.2572	7.290	0.073
1.2588	7.322	0.073
1.2604	7.375	0.074
1.2620	7.381	0.074
1.2636	7.292	0.074
1.2652	7.298	0.074
1.2668	7.338	0.074
1.2684	7.319	0.075
1.2700	7.153	0.074
1.2716	7.145	0.074
1.2731	7.179	0.075
1.2747	7.235	0.074
1.2763	7.284	0.075
1.2779	7.133	0.074
1.2795	7.155	0.075
1.2811	7.165	0.075
1.2827	7.192	0.075
1.2843	7.060	0.075
1.2859	6.910	0.074
1.2875	7.211	0.076
1.2891	7.046	0.075
1.2907	7.217	0.076
1.2923	7.015	0.075
1.2939	6.893	0.075
1.2955	6.973	0.075
1.2971	7.093	0.076
1.2987	7.087	0.076
1.3003	6.874	0.075
1.3019	7.029	0.076
1.3035	7.147	0.077
1.3051	6.950	0.075
1.3067	7.106	0.077
1.3083	7.156	0.077
1.3099	7.194	0.077
1.3115	7.131	0.078
1.3131	7.115	0.077
1.3147	7.038	0.077
1.3163	7.189	0.078
1.3179	7.041	0.077
1.3195	7.130	0.078
1.3210	7.102	0.078
1.3226	7.032	0.078
1.3242	7.003	0.077
1.3258	7.021	0.078
1.3274	7.088	0.078
1.3290	6.898	0.078
1.3306	7.058	0.078
1.3322	7.149	0.079
1.3338	6.796	0.077
1.3354	7.006	0.078
1.3370	6.867	0.077
1.3386	7.043	0.079
1.3402	7.044	0.079
1.3418	6.915	0.079
1.3434	6.785	0.077
1.3450	6.777	0.078
1.3466	6.737	0.078
1.3482	6.670	0.077
1.3498	6.837	0.079
1.3514	6.860	0.079
1.3530	6.779	0.078
1.3546	6.760	0.078
1.3562	6.793	0.079
1.3578	6.754	0.079
1.3594	6.898	0.080
1.3610	6.790	0.079
1.3626	6.733	0.079
1.3642	6.641	0.078
1.3658	6.611	0.079
1.3673	6.637	0.078
